"ORIEN:Ambient","TCGA:Ambient","ORIEN:Frozen","TCGA:Frozen","p","test"
"    104","    31","    376","  2962","",""
"     ","    ","    ","  ","<0.001",""
"      7 ( 6.7) ","     3 ( 9.7) ","     12 (  3.2) ","   411 ( 13.9) ","",""
"      5 ( 4.8) ","    13 (41.9) ","     65 ( 17.3) ","   465 ( 15.7) ","",""
"      3 ( 2.9) ","     4 (12.9) ","     17 (  4.5) ","   534 ( 18.0) ","",""
"     32 (30.8) ","    11 (35.5) ","     67 ( 17.8) ","   522 ( 17.6) ","",""
"      0 ( 0.0) ","     0 ( 0.0) ","      3 (  0.8) ","   502 ( 16.9) ","",""
"     40 (38.5) ","     0 ( 0.0) ","     77 ( 20.5) ","     0 (  0.0) ","",""
"      0 ( 0.0) ","     0 ( 0.0) ","     20 (  5.3) ","   166 (  5.6) ","",""
"     15 (14.4) ","     0 ( 0.0) ","    101 ( 26.9) ","   259 (  8.7) ","",""
"      2 ( 1.9) ","     0 ( 0.0) ","     14 (  3.7) ","   103 (  3.5) ","",""
"  58.52 (12.54)"," 65.39 (11.92)","  60.58 (12.59)"," 64.93 (11.83)","<0.001",""
"     72 (69.2) ","    17 (54.8) ","    203 ( 54.0) ","  1779 ( 60.1) "," 0.023",""
"  27.53 (6.34)"," 29.24 (7.32)","  28.99 (6.59)"," 28.41 (13.59)"," 0.608",""
"      0 ( 0.0) ","     0 ( 0.0) ","    376 (100.0) ","  2962 (100.0) ","<0.001",""
"1483.33 (1058.62)","451.67 (352.50)","1593.59 (1079.32)","764.56 (727.58)","<0.001",""
"     61 (58.7) ","    30 (96.8) ","    253 ( 67.3) ","  2755 ( 93.0) ","<0.001",""
